Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
RUIZ CASON H,,Deleted,No
RUIZ JAMIE G,,,Yes
RUIZ JAQUELINE T,JAQUELINE.T.RUIZ.TEST@US.NAVY.MIL,Active,Yes
RUIZ MIRIAM J,,,Yes
RUIZ TRAVON B,,,No
RUIZ TYRA C,TYRA.C.RUIZ.TEST@US.NAVY.MIL,Deleted,No
RUIZ VICTOR V,,,Yes
RUSH AMARI D,,Active,Yes
RUSH JAQUAN Q,,,No
RUSH JONAS S,,,No
RUSH MYLA T,MYLA.T.RUSH.TEST@US.NAVY.MIL,Active,Yes
RUSH QUINN B,,,No
RUSH YANDEL C,YANDEL.C.RUSH.TEST@US.NAVY.MIL,Active,Yes
RUSSELL BEATRIZ Y JR,,,No
RUSSELL DEACON Y,DEACON.Y.RUSSELL.TEST@US.NAVY.MIL,,Yes
RUSSELL JACE P,JACE.P.RUSSELL.TEST@US.NAVY.MIL,Active,No
RUSSELL JIMENA G,,Deleted,No
RUSSELL KATIE X,,,No
RUSSELL PERRY A,PERRY.A.RUSSELL.TEST@US.NAVY.MIL,Deleted,Yes
RUSSELL URIEL K,URIEL.K.RUSSELL.TEST@US.NAVY.MIL,Deleted,No
RUSSO DION T,,,Yes
RUSSO EVA K,,,No
RUSSO FRANK V,FRANK.V.RUSSO.TEST@US.NAVY.MIL,Active,No
RUSSO ISSAC T,ISSAC.T.RUSSO.TEST@US.NAVY.MIL,,Yes
RUSSO TERESA V,,Active,Yes
RYAN ALDEN Q,,,Yes
RYAN BRANDON I,BRANDON.I.RYAN.TEST@US.NAVY.MIL,,Yes
RYAN GIA G JR,,,No
RYAN KIARA T,,,No
SALAS ABRAHAM F,ABRAHAM.F.SALAS.TEST@US.NAVY.MIL,Active,No
SALAS ALEXZANDER E,,,No
SALAS HEIDI N,,,Yes
SALAS JANELLE Y,JANELLE.Y.SALAS.TEST@US.NAVY.MIL,Active,Yes
SALAS MARINA L,,,No
SALAS NATHANIEL A,,,No
SALAS ROBERT V,ROBERT.V.SALAS.TEST@US.NAVY.MIL,Active,Yes
SALAS TREVOR L,TREVOR.L.SALAS.TEST@US.NAVY.MIL,Active,Yes
SALAZAR ELIAN G,,,No
SALAZAR HAROLD U,HAROLD.U.SALAZAR.TEST@US.NAVY.MIL,,Yes
SALAZAR HOLLY Y,HOLLY.Y.SALAZAR.TEST@US.NAVY.MIL,Active,Yes
SALAZAR TYREE A,,,No
SALINAS ANABELLE W,,,No
SALINAS CARL W JR,CARL.W.SALINAS.TEST@US.NAVY.MIL,,No
SALINAS CARLEY D,CARLEY.D.SALINAS.TEST@US.NAVY.MIL,Active,Yes
SALINAS DIEGO Q,DIEGO.Q.SALINAS.TEST@US.NAVY.MIL,Active,Yes
SALINAS GIANA K,,,No
SALINAS MAKAILA Y,,,No
SAMPSON ANASTASIA M,,,No
SAMPSON EILEEN T,,,No
SAMPSON ESTEVAN V,,,No
SAMPSON KYA P,,,No
SAMPSON SANAA I,SANAA.I.SAMPSON.TEST@US.NAVY.MIL,Active,Yes
SAMPSON TIFFANY S,TIFFANY.S.SAMPSON.TEST@US.NAVY.MIL,,Yes
SANCHEZ BOBBY S,,,No
SANCHEZ CAMDEN G,,,No
SANCHEZ KADE W,,,No
SANCHEZ LIA A,,,No
SANCHEZ NOEL Y,,,No
SANCHEZ PHOENIX P,,,No
SANCHEZ SANIYAH N,SANIYAH.N.SANCHEZ.TEST@US.NAVY.MIL,,No
SANCHEZ XANDER E,XANDER.E.SANCHEZ.TEST@US.NAVY.MIL,,Yes
SANDERS ASA H,,,No
SANDERS DWAYNE W,DWAYNE.W.SANDERS.TEST@US.NAVY.MIL,Active,Yes
SANDERS EZRA K,,,Yes
SANDERS JASON W,JASON.W.SANDERS.TEST@US.NAVY.MIL,Active,No
SANDERS KASANDRA I,,,No
SANDERS KASANDRA T,,,No
SANDERS LILIANA L,,Deleted,No
SANDERS MEGAN C,,,No
SANDERS PRINCE U JR,PRINCE.U.SANDERS.TEST@US.NAVY.MIL,Active,Yes
SANDERS SARAI X,SARAI.X.SANDERS.TEST@US.NAVY.MIL,Active,No
SANDERS TOBY V,,,Yes
SANDERS VIOLET O,,,No
SANDOVAL ALEXIS I,,,No
SANDOVAL JAYLA P,,Active,No
SANDOVAL JOSEPHINE I,,,No
SANDOVAL TALAN M,TALAN.M.SANDOVAL.TEST@US.NAVY.MIL,Deleted,No
SANFORD BRENDA M,,,No
SANFORD FRANKIE O,FRANKIE.O.SANFORD.TEST@US.NAVY.MIL,Active,Yes
SANFORD JOANA D,JOANA.D.SANFORD.TEST@US.NAVY.MIL,Active,Yes
SANFORD KELLEN W,KELLEN.W.SANFORD.TEST@US.NAVY.MIL,Active,No
SANFORD NATALIE V,NATALIE.V.SANFORD.TEST@US.NAVY.MIL,Active,Yes
SANFORD ROHAN U,,,Yes
SANTANA BETHANY A,,,No
SANTANA CARLA T,CARLA.T.SANTANA.TEST@US.NAVY.MIL,Active,Yes
SANTANA JAILYN U,JAILYN.U.SANTANA.TEST@US.NAVY.MIL,Active,No
SANTANA MADELYN J,,,No
SANTANA PABLO K,PABLO.K.SANTANA.TEST@US.NAVY.MIL,Active,No
SANTANA VINCENT M,VINCENT.M.SANTANA.TEST@US.NAVY.MIL,Active,No
SANTIAGO AMBER P,,,Yes
SANTIAGO ELLIE H,,,No
SANTIAGO KAYLEY R,,,No
SANTIAGO KILEY K,KILEY.K.SANTIAGO.TEST@US.NAVY.MIL,,Yes
SANTIAGO KYRA M,,,Yes
SANTIAGO MAXIM G,,,No
SANTOS ANGELO B,ANGELO.B.SANTOS.TEST@US.NAVY.MIL,Active,Yes
SANTOS CHEYENNE H,CHEYENNE.H.SANTOS.TEST@US.NAVY.MIL,Active,No
SANTOS DESHAWN M,DESHAWN.M.SANTOS.TEST@US.NAVY.MIL,Active,Yes
SANTOS GERALD L,,,No
SANTOS HEATHER R,,,No
SANTOS ISIS E,ISIS.E.SANTOS.TEST@US.NAVY.MIL,Deleted,No
SANTOS KELVIN Z,,,No
SAUNDERS ANITA E,,Deleted,Yes
SAUNDERS BROOKLYN P,,,No
SAUNDERS FELICITY T,,,No
SAUNDERS KARLY X,,,No
SAUNDERS ROGER P,ROGER.P.SAUNDERS.TEST@US.NAVY.MIL,,No
SAUNDERS TANIYAH Y,TANIYAH.Y.SAUNDERS.TEST@US.NAVY.MIL,Active,No
SAUNDERS TESS D,TESS.D.SAUNDERS.TEST@US.NAVY.MIL,Active,Yes
SAUNDERS TREVOR Z,,,No
SAVAGE ALLYSON X,ALLYSON.X.SAVAGE.TEST@US.NAVY.MIL,Active,Yes
SAVAGE CHAZ Y,,Active,No
SAVAGE DREW G,,,No
SAVAGE HAYDEN W,,,No
SAVAGE KYA S,,,Yes
SAVAGE REAGAN I JR,,,No
SAVAGE SERENITY S,,,No
SAVAGE WESTON D,,,No
SAWYER ALANI Q,,,No
SAWYER BRENDA U,,,No
SAWYER JAYLON D,,Active,No
SAWYER JESUS S,,,No
SAWYER MACIE C,,,No
SAWYER RHETT O,,Deleted,Yes
SAWYER RIGOBERTO E,,,No
SCHAEFER ARMANI J,ARMANI.J.SCHAEFER.TEST@US.NAVY.MIL,,No
SCHAEFER BEN T DR,BEN.T.SCHAEFER.TEST@US.NAVY.MIL,,Yes
SCHAEFER CHAYA D,CHAYA.D.SCHAEFER.TEST@US.NAVY.MIL,Active,Yes
SCHAEFER DEREK I,DEREK.I.SCHAEFER.TEST@US.NAVY.MIL,Active,No
SCHAEFER MACY K,,,No
SCHAEFER MAGGIE L,,,No
SCHAEFER NOE M,NOE.M.SCHAEFER.TEST@US.NAVY.MIL,Active,Yes
SCHMIDT DESTINY O,,,No
SCHMIDT EAN Z,,Active,No
SCHMIDT FELICITY H JR,,,No
SCHMIDT HUGH U,,,No
SCHMIDT JESSE M,JESSE.M.SCHMIDT.TEST@US.NAVY.MIL,Active,No
SCHMIDT JOEY A,,,No
SCHMIDT NAOMI A,,,No
SCHMIDT NYAH N,,,No
SCHMIDT PRESLEY F JR,PRESLEY.F.SCHMIDT.TEST@US.NAVY.MIL,Active,Yes
SCHMITT DAYTON T,,,No
SCHMITT HAMZA K,HAMZA.K.SCHMITT.TEST@US.NAVY.MIL,Deleted,Yes
SCHMITT HOPE N,HOPE.N.SCHMITT.TEST@US.NAVY.MIL,Active,Yes
SCHMITT KELVIN Z,,,No
SCHMITT LEE M JR,,,Yes
SCHMITT LORENA S,LORENA.S.SCHMITT.TEST@US.NAVY.MIL,Active,No
SCHMITT NATHAN S,,,No
SCHNEIDER KYLEE M,KYLEE.M.SCHNEIDER.TEST@US.NAVY.MIL,Active,Yes
SCHNEIDER SONNY K,SONNY.K.SCHNEIDER.TEST@US.NAVY.MIL,Active,Yes
SCHNEIDER STEPHAN K,,,No
SCHROEDER DANDRE O,,,Yes
SCHULTZ BLAKE B,BLAKE.B.SCHULTZ.TEST@US.NAVY.MIL,Active,No
SCHULTZ BRADEN K,BRADEN.K.SCHULTZ.TEST@US.NAVY.MIL,Active,Yes
SCHULTZ JALIYAH Z,,,No
SCHULTZ PABLO G,,,No
SCHWARTZ CADENCE G,,Active,Yes
SCHWARTZ DARIAN K,DARIAN.K.SCHWARTZ.TEST@US.NAVY.MIL,Active,No
SCHWARTZ FRANCES D,FRANCES.D.SCHWARTZ.TEST@US.NAVY.MIL,Active,No
SCHWARTZ LAMONT S,,Deleted,Yes
SCHWARTZ LEON A,LEON.A.SCHWARTZ.TEST@US.NAVY.MIL,Active,Yes
SCHWARTZ MEAGAN O,,,Yes
SCHWARTZ NORA O,,,Yes
SCOTT AMARION F,,,No
SCOTT CRUZ Q,CRUZ.Q.SCOTT.TEST@US.NAVY.MIL,Active,Yes
SCOTT GABRIELA T,,,No
SCOTT KATHY K,,,No
SCOTT LISA L,,,No
SCOTT PEDRO V,PEDRO.V.SCOTT.TEST@US.NAVY.MIL,Deleted,Yes
SCOTT TIMOTHY C,,Deleted,No
SELLERS BEATRIZ Z,,,No
SELLERS BRIELLE X,,,No
SELLERS CHAYA E,CHAYA.E.SELLERS.TEST@US.NAVY.MIL,,No
SELLERS DAVIAN X,,,No
SELLERS JANIYA D JR,JANIYA.D.SELLERS.TEST@US.NAVY.MIL,Deleted,Yes
SELLERS KARA M,,Active,Yes
SELLERS KASON P,,,Yes
SELLERS MARILYN E,,,No
SELLERS RUBI U,,Active,No
SELLERS SAUL B,,,No
SELLERS YULIANA A III,,,No
SERRANO ADDISON K,,,No
SERRANO ARIANA W,ARIANA.W.SERRANO.TEST@US.NAVY.MIL,Active,No
SERRANO CHAD F,,,No
SERRANO ROMEO W,,,No
SERRANO SAGE U,SAGE.U.SERRANO.TEST@US.NAVY.MIL,Active,Yes
SERRANO SHANNON M,,Deleted,Yes
SEXTON AMINA Q,,,No
SEXTON CARA I,CARA.I.SEXTON.TEST@US.NAVY.MIL,Active,Yes
SEXTON EMERSON R,,,No
SEXTON KRISTINA B,KRISTINA.B.SEXTON.TEST@US.NAVY.MIL,Active,Yes
SEXTON XIOMARA N,,,No
SHAFFER ALONZO A,,Deleted,No
SHAFFER AUSTIN H,,,Yes
SHAFFER DAYANA D,,,Yes
SHAFFER DEON S,,Deleted,Yes
SHAFFER JOANA R,,,No
SHAH ALLEN I,,,No
SHAH ASHTON G,ASHTON.G.SHAH.TEST@US.NAVY.MIL,Active,Yes
SHAH CAMRYN H,,,No
SHAH CHASE O,,,No
SHAH GEORGIA G,GEORGIA.G.SHAH.TEST@US.NAVY.MIL,,Yes
SHAH GRAYSON U,,Deleted,No
SHAH HANNAH O,,,No
SHAH JACOBY Z,JACOBY.Z.SHAH.TEST@US.NAVY.MIL,Active,Yes
SHANNON DARYL M,DARYL.M.SHANNON.TEST@US.NAVY.MIL,Active,No
SHANNON GIANNA V,,,No
SHANNON JAYLEE T,,,No
SHANNON LARISSA A,,,No
SHANNON MARIANA F,,,No
SHANNON NATALYA G,,,No
SHANNON OWEN S,,,No
SHANNON QUINN U,QUINN.U.SHANNON.TEST@US.NAVY.MIL,,No
SHANNON SHAYLEE M,,,No
SHARP ALONZO J,,Deleted,No
SHARP COLTON L,,,No
SHARP DAMON M,,,No
SHARP IZABELLA M JR,IZABELLA.M.SHARP.TEST@US.NAVY.MIL,Active,Yes
SHARP KENZIE N III,,,No
SHARP MCKAYLA I,,,No
SHARP PAYTON B,,,No
SHARP RYLEE C,RYLEE.C.SHARP.TEST@US.NAVY.MIL,Active,Yes
SHARP TODD I,,,No
SHAW ANGELINE J,ANGELINE.J.SHAW.TEST@US.NAVY.MIL,,No
SHAW BROOKE V,,,No
SHAW JADEN K,JADEN.K.SHAW.TEST@US.NAVY.MIL,Active,Yes
SHAW KONNOR N,KONNOR.N.SHAW.TEST@US.NAVY.MIL,Active,No
SHAW MARSHALL W,,,Yes
SHAW NICO F,,,No
SHAW TITUS V,TITUS.V.SHAW.TEST@US.NAVY.MIL,Active,No
SHEA DARIO Z,,,No
SHEA JORDY Y,,,No
SHEA JULIANNA W,,,No
SHEA LAURYN T,,,No
SHEA RHETT F,RHETT.F.SHEA.TEST@US.NAVY.MIL,Active,No
SHEA ROBERT Z,ROBERT.Z.SHEA.TEST@US.NAVY.MIL,Active,No
SHELTON AYDAN A,,,No
SHELTON ERICKA Z,,,No
SHELTON JUDITH B,,,No
SHELTON NATHANIEL H,,,No
SHELTON SINCERE I,SINCERE.I.SHELTON.TEST@US.NAVY.MIL,Active,No
SHELTON TARYN K,TARYN.K.SHELTON.TEST@US.NAVY.MIL,Active,No
SHEPARD AMARA J,,,No
SHEPARD DOMINIQUE T,,,No
SHEPARD EMERY X,EMERY.X.SHEPARD.TEST@US.NAVY.MIL,Active,Yes
SHEPARD MATEO Q,MATEO.Q.SHEPARD.TEST@US.NAVY.MIL,Active,No
SHEPARD MIRACLE E,MIRACLE.E.SHEPARD.TEST@US.NAVY.MIL,Active,No
SHEPARD THEODORE O,,,No
SHEPARD VICENTE L,VICENTE.L.SHEPARD.TEST@US.NAVY.MIL,Active,Yes
SHEPHERD BRAXTON O,,,No
SHEPHERD CAMILA M,,,No
SHEPHERD DELANEY R,,,No
SHEPHERD TIERRA J,TIERRA.J.SHEPHERD.TEST@US.NAVY.MIL,Active,Yes
SHEPPARD ABIGAYLE I,,,No
SHEPPARD ALAINA Z,ALAINA.Z.SHEPPARD.TEST@US.NAVY.MIL,Active,No
SHEPPARD ANGELA I,ANGELA.I.SHEPPARD.TEST@US.NAVY.MIL,Active,No
SHEPPARD BO E,,,No
SHEPPARD KYRA B,,,No
SHERMAN DILLON Q,,,No
SHERMAN ELVIS B,,,No
SHERMAN GEORGE L,,,No
SHERMAN HOWARD I,,,Yes
SHERMAN ISMAEL Q,,,Yes
SHERMAN JAVIER R,JAVIER.R.SHERMAN.TEST@US.NAVY.MIL,Active,Yes
SHERMAN KAELYN F,,,No
SHERMAN MALACHI A,,,No
SHERMAN ROSS L,,Active,Yes
SHERMAN TEAGAN J,,Active,Yes
SHIELDS ANDRES I,,,No
SHIELDS CIERRA Y,,,No
SHIELDS HALEY G,HALEY.G.SHIELDS.TEST@US.NAVY.MIL,Active,Yes
SHIELDS LUIS E,LUIS.E.SHIELDS.TEST@US.NAVY.MIL,Deleted,Yes
SHIELDS WILLIE Q,,,Yes
SHORT CAITLYN W,,,No
SHORT CLAYTON N,,,No
SHORT GAVIN Z,,,No
SILVA AILEEN Z,AILEEN.Z.SILVA.TEST@US.NAVY.MIL,Active,Yes
SILVA ALAYNA N,ALAYNA.N.SILVA.TEST@US.NAVY.MIL,Deleted,Yes
SILVA ANDREA F,,Active,No
SILVA DONNA J JR,,,Yes
SILVA GUNNAR Z,,,No
SILVA KATHERINE E,,,No
SILVA MASON S,,,No
SIMMONS CELINE F,CELINE.F.SIMMONS.TEST@US.NAVY.MIL,Active,No
SIMMONS DESIRAE U,DESIRAE.U.SIMMONS.TEST@US.NAVY.MIL,,No
SIMMONS ELLIE D,,,No
SIMMONS ELVIS W,ELVIS.W.SIMMONS.TEST@US.NAVY.MIL,Deleted,Yes
SIMMONS JALYN Y,,,Yes
SIMMONS LAILA J,LAILA.J.SIMMONS.TEST@US.NAVY.MIL,Active,Yes
SIMMONS MARGARET M,,,No
SIMMONS MEGHAN E,MEGHAN.E.SIMMONS.TEST@US.NAVY.MIL,Active,No
SIMMONS PERRY U JR,PERRY.U.SIMMONS.TEST@US.NAVY.MIL,Active,No
SIMMONS REMINGTON G,,,No
SIMMONS SANAA E,,,No
SIMMONS SERGIO I JR,,,No
SIMMONS VALENTINA X,,,Yes
SIMON ASHTON Q JR,,,No
SIMON JOANNA P,,,Yes
SIMON KAYLA S JR,KAYLA.S.SIMON.TEST@US.NAVY.MIL,Active,Yes
SIMON LAUREN R JR,,,No
SIMON NYASIA S,NYASIA.S.SIMON.TEST@US.NAVY.MIL,Active,Yes
SIMON RYLEE H,,,No
SIMON TIARA N,,,Yes
SIMPSON ALIVIA S,,,No
SIMPSON BRANDY I,,,No
SIMPSON CLAY S,CLAY.S.SIMPSON.TEST@US.NAVY.MIL,Active,Yes
SIMPSON FRANKIE G,,,No
SIMPSON GISELLE N,,,Yes
SIMPSON HADEN X,HADEN.X.SIMPSON.TEST@US.NAVY.MIL,Active,No
SIMPSON ISIAH U,,,No
SIMPSON JALIYAH P JR,JALIYAH.P.SIMPSON.TEST@US.NAVY.MIL,Deleted,No
SIMPSON JOHNATHON K,,,No
SIMPSON RALPH C,RALPH.C.SIMPSON.TEST@US.NAVY.MIL,Active,Yes
SIMPSON VALENTIN X,,,No
SIMS AMAYA Q,,,No
SIMS ARJUN O,ARJUN.O.SIMS.TEST@US.NAVY.MIL,,Yes
SIMS EMERY M,EMERY.M.SIMS.TEST@US.NAVY.MIL,Active,No
SIMS JAMIE Z,,,No
SIMS KARSON L JR,,,No
SIMS MADDISON S,,,Yes
SIMS RUBI K,RUBI.K.SIMS.TEST@US.NAVY.MIL,Active,No
SIMS TOBIAS Y,,,No
SINGH ALENA O,,,No
SINGH DARRYL Y,,,No
SINGH JAYLIN O,JAYLIN.O.SINGH.TEST@US.NAVY.MIL,Active,No
SINGH KAYDEN V,,,Yes
SINGH KOLTON V,,,No
SINGH STACEY A,,,No
SINGH VICENTE W,VICENTE.W.SINGH.TEST@US.NAVY.MIL,Active,No
SINGLETON BAILEE K,BAILEE.K.SINGLETON.TEST@US.NAVY.MIL,Active,No
SINGLETON JANIYA F,,,No
SINGLETON TRENTON J,TRENTON.J.SINGLETON.TEST@US.NAVY.MIL,Active,No
SKINNER ANDREA K,,,No
SKINNER DUNCAN V II,,,Yes
SKINNER INGRID X,INGRID.X.SKINNER.TEST@US.NAVY.MIL,Active,No
SLOAN ANYA W,ANYA.W.SLOAN.TEST@US.NAVY.MIL,,No
SLOAN BLAKE M,,,No
SLOAN FINN J,,,No
SLOAN KENNEDY J,,,No
SLOAN LILA H,,,No
SLOAN SAIGE H,SAIGE.H.SLOAN.TEST@US.NAVY.MIL,Active,No
SMALL CORY Z,,,No
SMALL ERIK I,,,No
SMALL GABRIEL Y,,,No
SMALL JULIANNA C,,,No
SMALL LILLY S,LILLY.S.SMALL.TEST@US.NAVY.MIL,Active,Yes
SMALL NICO T,,,No
SMALL ROBYN P,ROBYN.P.SMALL.TEST@US.NAVY.MIL,Active,Yes
SMALL VANCE P,,,No
SMITH ABRAM T III,,,No
SMITH ANDREW O,,,No
SMITH ARLENE J,,,No
SMITH EVAN X,EVAN.X.SMITH.TEST@US.NAVY.MIL,,Yes
SMITH JARED H II,JARED.H.SMITH.TEST@US.NAVY.MIL,,Yes
SMITH MOISES A,,,No
SNOW ADDYSON S,,,Yes
SNOW BETHANY Y,,,No
SNOW CAMILLE B,,,No
SNOW LEO Q,,,No
SNOW MACKENZIE N,,,Yes
SNOW SYDNEE A,,Deleted,Yes
SNYDER CARSON M,,,Yes
SNYDER JACE O,,,No
SNYDER JAYDA C,JAYDA.C.SNYDER.TEST@US.NAVY.MIL,Active,No
SNYDER MEADOW S JR,,,Yes
SNYDER ZARIAH X,,,No
SOLIS EVELYN X,,,No
SOLIS HALEY W,,,Yes
SOLIS HAVEN S,,,No
SOLIS KASON Y,,,No
SOLIS LUKE U,LUKE.U.SOLIS.TEST@US.NAVY.MIL,Active,Yes
SOLIS TERRENCE C,TERRENCE.C.SOLIS.TEST@US.NAVY.MIL,Deleted,No
SOLIS WILLIAM B III,,,No
SOLOMON ADDISON D,ADDISON.D.SOLOMON.TEST@US.NAVY.MIL,Active,No
SOLOMON ISMAEL M,,,No
SOLOMON JOHNATHON D,JOHNATHON.D.SOLOMON.TEST@US.NAVY.MIL,Active,Yes
SOLOMON LILY N,LILY.N.SOLOMON.TEST@US.NAVY.MIL,Active,Yes
SOLOMON TATUM V,,,No
SOSA ANTONIA C III,ANTONIA.C.SOSA.TEST@US.NAVY.MIL,Active,No
SOSA BLAZE K,,Active,Yes
SOSA CALISTA G,CALISTA.G.SOSA.TEST@US.NAVY.MIL,Active,Yes
SOSA FELIX V,,,No
SOSA SALMA T,SALMA.T.SOSA.TEST@US.NAVY.MIL,Active,Yes
SOSA SARAHI S,,,No
SOTO ALLY B,,,Yes
SOTO IVY F,,,No
SOTO JOSEPH C,,,No
SOTO JULIANNE M,JULIANNE.M.SOTO.TEST@US.NAVY.MIL,Active,Yes
SOTO LAMAR L,,,No
SOTO MYLA G,MYLA.G.SOTO.TEST@US.NAVY.MIL,Active,Yes
SOTO PRANAV N JR,,,No
SOTO RHIANNON C,,,No
SPARKS ALFONSO K JR,ALFONSO.K.SPARKS.TEST@US.NAVY.MIL,,No
SPARKS DANE I,DANE.I.SPARKS.TEST@US.NAVY.MIL,Deleted,Yes
SPARKS EFREN G,EFREN.G.SPARKS.TEST@US.NAVY.MIL,Active,No
SPARKS GRIFFIN N,,,No
SPARKS IRIS G,,,No
SPARKS KATE B,,,No
SPARKS PRANAV H,PRANAV.H.SPARKS.TEST@US.NAVY.MIL,Active,No
SPARKS ROLAND J III,,,No
SPARKS SASHA K,,,No
SPARKS SAWYER J,,Deleted,No
SPARKS TAMARA Y,,,No
SPEARS ALFONSO C,,,No
SPEARS ALLAN R,,,No
SPEARS BAYLEE Q,BAYLEE.Q.SPEARS.TEST@US.NAVY.MIL,Active,Yes
SPEARS CORTEZ G,,,Yes
SPEARS KAI Y,KAI.Y.SPEARS.TEST@US.NAVY.MIL,Deleted,Yes
SPEARS MALIA N,,,Yes
SPEARS PERRY C,PERRY.C.SPEARS.TEST@US.NAVY.MIL,Active,Yes
SPEARS RYAN W,RYAN.W.SPEARS.TEST@US.NAVY.MIL,,Yes
SPEARS VIRGINIA G,,,Yes
SPENCE ALEXZANDER E,,Deleted,Yes
SPENCE ARNAV W,ARNAV.W.SPENCE.TEST@US.NAVY.MIL,Deleted,No
SPENCE BEATRIZ A,,,Yes
SPENCE JALYN X,,,No
SPENCE JAYLIN O,JAYLIN.O.SPENCE.TEST@US.NAVY.MIL,Active,Yes
SPENCE MILO F,,,No
SPENCE REYNALDO V,REYNALDO.V.SPENCE.TEST@US.NAVY.MIL,Deleted,Yes
SPENCER DOUGLAS X,,,Yes
SPENCER EARL P,,Deleted,Yes
SPENCER JIMENA M,,,No
SPENCER JOHAN W,,,No
SPENCER KAYA H,,,No
SPENCER RODRIGO E,,,No
SPENCER SAGE G,,,No
SPENCER SANTOS M,SANTOS.M.SPENCER.TEST@US.NAVY.MIL,Active,Yes
STAFFORD BRITNEY J,,,No
STAFFORD KEON D,KEON.D.STAFFORD.TEST@US.NAVY.MIL,Active,No
STAFFORD KYAN P,,,No
STAFFORD TIARA T,,Active,Yes
STANLEY ANGELO M,ANGELO.M.STANLEY.TEST@US.NAVY.MIL,Deleted,No
STANLEY BRAYAN F,,,No
STANLEY DALIA U,,Active,Yes
STANLEY DANDRE U,,,No
STANLEY DANNY J,,,No
STANLEY ETHEN D,,,Yes
STANLEY EZRA K,EZRA.K.STANLEY.TEST@US.NAVY.MIL,Active,Yes
STANLEY JAZLYN E,JAZLYN.E.STANLEY.TEST@US.NAVY.MIL,Active,Yes
STANLEY NATHAN B,NATHAN.B.STANLEY.TEST@US.NAVY.MIL,Active,Yes
STANLEY SIENA W,,,No
STANTON CASH F,CASH.F.STANTON.TEST@US.NAVY.MIL,Active,Yes
STANTON COLE U,,,No
STANTON MAKENA M,MAKENA.M.STANTON.TEST@US.NAVY.MIL,Active,Yes
STARK AMYA C,AMYA.C.STARK.TEST@US.NAVY.MIL,Active,No
STARK BRANDY C,,,No
STARK DIANE C,DIANE.C.STARK.TEST@US.NAVY.MIL,Active,No
STARK KAELYN A,,,No
STARK KENZIE H,,,No
STARK MADISEN U,,,No
STARK QUINN F,QUINN.F.STARK.TEST@US.NAVY.MIL,Deleted,No
STARK TANIYA M,,,No
STARK THALIA B,,Active,No
STEELE CLARISSA W,,,No
STEELE DANIKA D,,,No
STEELE DARIEN W,,Active,No
STEELE DEVEN A,,,No
STEELE PAOLA I,,,Yes
STEELE PAUL U,PAUL.U.STEELE.TEST@US.NAVY.MIL,Active,Yes
STEELE QUINTIN V,,,No
STEELE RUBEN V,,Deleted,Yes
STEIN ADDISON G,ADDISON.G.STEIN.TEST@US.NAVY.MIL,Deleted,Yes
STEIN GERARDO Y,,Deleted,No
STEIN HUNTER B,,,No
STEIN KALE V,,Deleted,Yes
STEIN MARTHA P,,,No
STEIN MIRIAM W,MIRIAM.W.STEIN.TEST@US.NAVY.MIL,Active,Yes
STEIN SABRINA X,SABRINA.X.STEIN.TEST@US.NAVY.MIL,Deleted,Yes
STEIN XIOMARA Y,XIOMARA.Y.STEIN.TEST@US.NAVY.MIL,Active,No
STEPHENS AISHA K,AISHA.K.STEPHENS.TEST@US.NAVY.MIL,Deleted,Yes
STEPHENS ANDREAS B,,,Yes
STEPHENS ANGELICA D,ANGELICA.D.STEPHENS.TEST@US.NAVY.MIL,,No
STEPHENS DAVIAN X,,,No
STEPHENS DAVID B,,,No
STEPHENS DEMARION C,,,Yes
STEPHENS MARQUIS A,,,Yes
STEPHENS MILES A,,,No
STEPHENSON CARMELO O,,,No
STEPHENSON DEON W,,,Yes
STEPHENSON TABITHA D,,Deleted,No
STEVENS ADAM M,,,No
STEVENS ALVARO M,,,No
STEVENS ANASTASIA O,,,No
STEVENS BRETT S,,,No
STEVENS JADYN Z,,Deleted,No
STEVENS JAMES L,,,No
STEVENS KYLAN G,KYLAN.G.STEVENS.TEST@US.NAVY.MIL,Active,Yes
STEVENS LILLIANA D,LILLIANA.D.STEVENS.TEST@US.NAVY.MIL,,Yes
STEVENS LUKA U,,Active,Yes
STEVENS SERGIO Q,,,No
STEVENS TATUM N,TATUM.N.STEVENS.TEST@US.NAVY.MIL,Active,Yes
STEVENSON AMANI R,,,No
STEVENSON AMINA J,,,No
STEVENSON DESTINEY V III,,,No
STEVENSON DULCE V,DULCE.V.STEVENSON.TEST@US.NAVY.MIL,,Yes
STEVENSON JASMINE G,,,No
STEVENSON NIA E,NIA.E.STEVENSON.TEST@US.NAVY.MIL,Deleted,No
STEVENSON RIVER A,,,No
STEVENSON SHEA Z,,,No
STEWART BRADEN Q,,,No
STEWART CAITLYN I,CAITLYN.I.STEWART.TEST@US.NAVY.MIL,,Yes
STEWART CLINTON Q,CLINTON.Q.STEWART.TEST@US.NAVY.MIL,Active,No
STEWART ROGELIO V,ROGELIO.V.STEWART.TEST@US.NAVY.MIL,Active,No
STOKES JAXON R,JAXON.R.STOKES.TEST@US.NAVY.MIL,Active,Yes
STOKES JOAN S,JOAN.S.STOKES.TEST@US.NAVY.MIL,Active,Yes
STOKES JOSEPH O,,,No
STOKES JUSTUS J III,,,Yes
STOKES LUNA P,,,No
STOKES MALLORY B,,Active,Yes
